incident_id,namespace,classifications.Annotator,classifications.Annotation Status,classifications.Reviewer,classifications.Quality Control,classifications.Full Description,classifications.Short Description,classifications.Beginning Date,classifications.Ending Date,classifications.Location,classifications.Near Miss,classifications.Named Entities,classifications.Technology Purveyor,classifications.Intent,classifications.Severity,classifications.Lives Lost,classifications.Harm Distribution Basis,classifications.Harm Type,classifications.Infrastructure Sectors,classifications.Financial Cost,classifications.Laws Implicated,classifications.AI System Description,classifications.Data Inputs,classifications.System Developer,classifications.Sector of Deployment,classifications.Public Sector Deployment,classifications.Nature of End User,classifications.Level of Autonomy,classifications.Relevant AI functions,classifications.AI Techniques,classifications.AI Applications,classifications.Physical System,classifications.Problem Nature,classifications.Publish
22,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
